trade_id,stock_symbol,quantity,purchase_price,purchase_date
95,JCOM,1224,477.07,3/11/2020
96,CY,7806,821.16,12/6/2022
97,CRK,5396,476.71,1/19/2022
98,LION,9730,20.73,5/22/2020
99,TDY,3210,15.3,10/2/2020
100,ENIA,2196,287.29,2/14/2020
101,EVC,9639,993.33,2/4/2022
102,BC,5833,425.95,7/9/2020
103,DMB,7922,467.77,8/29/2022
104,DF,4142,292.99,10/20/2021
105,LKFN,1721,475.24,6/9/2020
106,THFF,9469,475.39,12/22/2022
107,BIVV,2953,613.07,2/8/2020
108,PMT^A,9260,116.49,6/3/2021
109,ATAX,7793,108.77,2/25/2021
110,AIRT,7134,548.11,11/27/2022
111,ASPS,1111,291.56,1/14/2022
112,YPF,7688,477.07,12/2/2020
113,IBOC,7798,554.8,10/14/2021
114,FGP,3947,708.91,6/25/2021
115,ARRS,7547,49.01,10/4/2021
116,ABT,635,803.99,12/17/2022
117,SNX,2644,674.5,7/19/2020
118,MARK,3858,572.35,11/5/2021
119,ACM,287,834.3,2/2/2020
120,WFC^R,4242,442.19,3/15/2020
121,STRS,8547,748.15,9/24/2022
122,FELP,370,526.08,8/10/2022
123,AMT^B,8175,141.08,12/17/2020
124,AGFSW,5219,970.91,7/14/2020
125,TTGT,7427,677.33,8/25/2021
126,NTRSP,267,725.52,1/6/2020
127,AGR,3101,773.62,4/26/2022
128,FCSC,7832,639.99,7/28/2021
129,DAR,9096,877.96,1/9/2021
130,IGF,4819,297.14,10/26/2020
131,FICO,9014,155.29,10/3/2022
132,BAC^E,9792,148.6,9/21/2020
133,OREX,7145,482.45,1/19/2021
134,USPH,505,506.12,9/12/2020
135,SFBC,4228,935.09,1/12/2022
136,CHNR,9720,685.02,8/12/2021
137,A,3994,125.52,2/23/2022
138,XRF,5781,793.98,8/9/2021
139,SBOW,6452,457.04,5/5/2022
140,MEN,7589,879.12,2/12/2021
141,RES,7954,743.16,2/16/2022
142,CLACW,178,878.13,1/30/2020
143,AET,8912,630.83,4/19/2021
144,NCOM,9534,235.68,11/25/2021
145,DSWL,306,121.67,6/6/2020
146,RMR,5085,695.26,5/7/2021
147,SKM,8257,452.81,7/12/2021
148,CHK^D,4279,341.85,11/5/2021
149,NWPX,5014,160.08,3/24/2021
150,KRO,4726,331.0,11/4/2022
151,SP,9225,686.94,8/1/2020
152,MCFT,3309,856.78,10/13/2020
153,WFC^N,4370,70.24,10/15/2021
154,STB,2992,409.26,2/19/2021
155,SMMT,4386,575.91,5/19/2021
156,PTGX,3152,721.28,7/7/2022
157,TX,7173,127.28,9/17/2021
158,RFEU,304,767.16,8/12/2020
159,PDP,9713,157.16,5/8/2021
160,MSEX,5150,419.68,9/26/2021
161,CIZN,4771,730.53,3/18/2022
162,FDP,4668,750.69,12/3/2022
163,IGA,2103,950.35,5/13/2021
164,TJX,2009,226.28,10/4/2022
165,LRGE,5578,206.51,3/13/2020
166,OBSV,8765,983.78,10/10/2020
167,BBN,4103,929.42,10/15/2022
168,APAM,1055,846.88,1/27/2022
169,USCR,5441,240.13,3/7/2020
170,PNC^P,7266,290.24,4/28/2022
171,ARCB,6011,131.54,8/6/2021
172,HHS,2350,873.1,1/24/2021
173,ZG,666,784.99,1/25/2020
174,WEX,8365,819.65,1/28/2020
175,FAST,6954,681.42,10/12/2021
176,CBI,3741,234.31,11/14/2020
177,GCBC,2918,201.09,11/11/2022
178,HEP,8403,36.86,12/23/2020
179,RSO^A,6543,862.17,10/14/2021
180,GALE,892,509.15,7/23/2022
181,VGR,3193,634.15,3/28/2020
182,CDI,7683,27.39,3/25/2020
183,TLK,1773,600.97,6/5/2021
184,CEMP,4405,430.6,12/20/2022
185,ALB,9524,68.77,4/7/2021
186,SABR,492,962.06,9/25/2020
187,KT,1977,222.23,5/8/2020
188,BERY,8416,639.48,4/3/2022
189,BHACR,6911,45.93,6/12/2022
190,LFGR,6193,490.81,9/4/2021
191,DHG,6215,58.08,2/14/2021
192,MCHP,319,792.63,11/29/2022
193,ASG,9506,878.31,7/18/2022
194,CCD,8022,716.04,3/2/2020
195,CZWI,2013,398.25,4/11/2022
196,FKO,9649,488.81,7/4/2020
197,GMTA,6080,429.84,5/12/2021
198,BTU,607,778.6,3/16/2020
199,SVVC,4216,945.24,11/22/2022
200,GYB,2168,663.09,1/11/2022
201,VRNA,908,383.65,8/20/2020
202,ROP,6172,276.14,12/15/2021
203,SNC,4575,390.32,3/25/2020
204,BXS,9575,551.95,4/21/2020
205,WBK,8027,912.51,12/7/2022
206,CNXR,4823,125.09,3/29/2021
207,ALSK,5339,187.86,11/14/2020
208,FTHI,3061,610.7,8/8/2020
209,GJO,2721,617.55,4/19/2020
210,NXJ,4531,763.32,8/14/2022
211,PFL,5596,360.16,9/9/2021
212,QVCB,4767,307.61,1/7/2020
213,FNX,5047,186.75,12/21/2020
214,PVTB,5217,309.89,9/4/2021
215,MPAC,5639,15.93,11/17/2020
216,CAL,1022,352.5,8/6/2021
217,GNCA,3404,23.89,12/17/2021
218,RELX,5859,613.58,7/2/2020
219,SHAK,251,917.22,5/23/2021
220,LNT,2107,78.06,9/26/2020
221,ARGS,4907,465.47,9/29/2020
222,WMB,1837,549.98,8/18/2020
223,VBND,1301,376.66,1/31/2022
224,BF.A,6339,74.85,10/3/2021
225,QUIK,3401,286.98,9/15/2021
226,RBS^F,5437,225.88,7/13/2022
227,ESGR,9595,731.37,12/24/2022
228,MTU,2393,61.29,2/3/2020
229,AMRC,5072,63.94,1/3/2022
230,BOLD,5145,475.94,11/30/2022
231,BGG,8717,135.95,12/2/2020
232,GSBC,7800,247.05,7/20/2020
233,OMEX,7825,727.2,8/29/2020
234,JAG,9383,335.26,11/27/2020
235,FCEF,6091,721.86,1/9/2021
236,RSPP,8694,781.01,10/1/2021
237,VER^F,233,207.31,12/27/2020
238,VTWG,4858,25.43,6/3/2020
239,AXTA,774,548.17,8/30/2021
240,DXCM,7729,163.32,8/17/2020
241,VET,3035,609.74,12/22/2020
242,XENT,2769,570.3,7/21/2022
243,AEG,6920,343.43,8/4/2022
244,YERR,2597,383.49,12/3/2020
245,CIE,3315,633.43,8/2/2021
246,CLWT,726,579.35,4/14/2020
247,SLD,1493,71.66,8/5/2020
248,EXAS,976,761.98,11/26/2022
249,IPAR,392,419.2,1/8/2022
250,LAND,3515,723.12,4/28/2021
251,BSQR,8341,238.21,12/31/2021
252,SIX,65,226.41,12/24/2021
253,MPW,2787,516.08,4/20/2021
254,CMO,8358,211.5,8/22/2021
255,NM^H,7787,645.49,12/15/2020
256,CIT,2129,806.37,6/28/2020
257,JCS,4874,809.59,2/16/2020
258,MVCB,8171,151.91,4/14/2022
259,DDC,7047,233.11,7/31/2021
260,STI,2270,829.23,6/7/2021
261,CIG.C,5444,63.87,5/23/2022
262,TURN,9983,240.84,1/18/2021
263,PXD,2164,614.11,3/22/2022
264,NBEV,818,157.33,1/27/2021
265,CIDM,5458,733.48,9/4/2021
266,FDIV,5253,649.68,2/23/2022
267,URI,8666,526.25,7/17/2021
268,NVTR,3832,495.6,5/21/2021
269,PBA,9869,994.88,1/6/2021
270,AKO.B,6770,673.05,4/29/2020
271,CHEKW,4193,985.21,7/3/2022
272,TDJ,631,759.13,2/26/2020
273,PBCTP,9253,506.17,12/11/2021
274,SBNY,7119,683.29,3/9/2021
275,CPIX,9515,137.97,10/30/2022
276,SGOC,398,123.63,1/27/2020
277,XL,7238,506.54,4/12/2022
278,CLNS^I,7563,135.23,6/3/2020
279,IMDZ,6114,724.28,10/5/2022
280,VSDA,8328,607.07,4/1/2021
281,NIHD,6709,24.46,11/19/2020
282,HBP,3210,753.0,7/22/2022
283,TROW,8900,821.28,9/19/2022
284,UBS,3190,246.23,8/6/2021
285,PSDO,4497,739.07,9/23/2022
286,USEG,379,204.73,1/27/2022
287,ZBK,9281,451.38,6/25/2021
288,BGNE,1645,211.04,3/18/2021
289,MMDMR,4071,705.79,4/18/2021
290,WRI,3743,442.53,11/17/2022
291,PCG,8340,313.56,11/23/2022
292,PETS,748,889.11,1/17/2021
293,CSWC,6378,502.87,9/4/2020
294,FEMS,4080,740.73,11/17/2022
295,MUH,9986,92.62,1/15/2020
296,ZFGN,1280,382.33,5/19/2021
297,JE^A,4531,189.37,4/28/2022
298,FFIN,606,315.05,7/26/2020
299,ADRE,5049,224.66,1/11/2020
300,AIC,9314,910.57,2/21/2020
301,ACH,699,278.62,2/26/2022
302,RUTH,5178,601.96,7/23/2022
303,SPEX,4712,850.42,9/30/2020
304,ATRS,9016,465.9,7/15/2022
305,QIWI,1619,510.77,3/29/2021
306,TG,1187,262.48,9/25/2021
307,CSRA,6847,590.01,10/22/2022
308,LFC,4325,425.41,3/13/2022
309,CPF,4989,107.35,2/3/2020
310,BPFH,1086,613.96,12/1/2021
311,FCAP,2173,304.67,12/27/2022
312,NBIX,5931,762.78,4/18/2020
313,OMAB,648,543.19,5/21/2020
314,CUBA,5553,412.98,5/14/2021
315,FCPT,1942,148.98,5/23/2022
316,CYRX,4204,79.48,7/21/2022
317,DLNG^A,1121,372.57,11/26/2020
318,AES,8643,216.89,7/11/2020
319,ALDW,1483,574.32,10/31/2020
320,RPT^D,232,658.63,5/20/2021
321,DJCO,819,451.91,10/17/2022
322,DXGE,8202,984.32,10/29/2020
323,BGT,1490,754.4,11/3/2021
324,JBSS,4165,166.55,12/15/2021
325,PKD,8823,913.32,7/4/2022
326,MSCI,1363,86.67,8/24/2021
327,THRM,1194,917.11,8/28/2022
328,EEFT,6640,407.2,5/8/2022
329,TWIN,6604,68.47,7/5/2021
330,ICL,231,852.78,5/8/2021
331,AES,8235,996.65,5/18/2020
332,CIZN,7583,904.1,1/17/2022
333,SIFI,9805,10.33,1/18/2020
334,ASB^C,9919,17.6,10/31/2020
335,TOPS,5198,203.33,6/8/2020
336,PHX,4797,354.57,1/4/2022
337,SPPI,3126,794.39,2/8/2020
338,AFB,827,377.62,1/31/2021
339,BTE,7015,501.16,12/29/2020
340,WRK,9648,381.39,11/25/2021
341,UAA,3571,165.43,7/3/2021
342,FND,9157,830.84,2/12/2020
343,OACQW,156,262.01,10/16/2020
344,LMT,5258,583.6,7/3/2022
345,KMT,2623,87.33,11/5/2022
346,PRSS,8797,75.12,11/29/2022
347,RAND,5641,551.37,8/20/2022
348,RMT,726,385.15,5/20/2020
349,NNA,1809,80.14,3/3/2022
350,AFSS,5004,430.08,10/29/2020
351,SFM,5472,836.45,6/22/2020
352,SBRAP,5461,302.33,3/25/2020
353,WRI,2722,940.1,12/23/2022
354,WFM,5803,15.12,6/16/2022
355,HAWK,2170,708.29,10/15/2022
356,BFR,4698,640.9,1/17/2022
357,RAD,6314,937.51,12/28/2021
358,TCO^J,5192,515.37,6/21/2020
359,MYN,2959,417.04,12/13/2021
360,USDP,4245,329.23,2/10/2021
361,SIEN,6404,356.28,2/28/2020
362,UZB,7190,389.96,11/30/2021
363,UGLD,4551,351.25,4/7/2020
364,CLH,4898,197.16,4/27/2022
365,PETS,7476,431.53,7/2/2022
366,AQMS,5284,390.21,5/15/2022
367,TIME,1662,825.42,6/3/2021
368,HAS,8251,85.81,5/1/2020
369,VKTXW,1914,771.66,8/7/2021
370,USCR,8776,851.34,7/21/2021
371,AGTC,6826,966.89,9/14/2020
372,IDT,3916,297.91,12/30/2020
373,LEO,2418,598.01,8/26/2022
374,SPCB,249,611.82,5/6/2021
375,OFG,1765,615.54,12/26/2022
376,HQCL,1653,758.18,5/25/2021
377,HPI,5181,311.07,12/8/2022
378,ESE,6836,428.63,8/5/2020
379,ENO,5374,901.13,4/26/2021
380,GPE^A,7811,307.96,4/11/2022
381,SGC,4019,654.95,5/12/2022
382,UBP,2311,712.9,8/12/2021
383,EVBG,8504,208.11,7/2/2021
384,CPSH,2307,800.68,8/3/2020
385,EPE,7642,583.1,1/8/2022
386,SPWR,942,884.32,5/4/2022
387,AIF,4624,40.12,7/8/2021
388,CCJ,7104,840.97,9/19/2021
389,NWLI,7797,719.4,9/28/2022
390,MH^A,9490,990.79,3/28/2020
391,ONSIW,1060,707.84,10/24/2021
392,SRTS,9491,733.89,9/22/2022
393,EDBI,4595,326.75,8/20/2020
394,AVP,3586,131.62,4/7/2020
395,GSVC,5648,65.18,11/14/2020
396,SYKE,2802,357.87,8/29/2022
397,NSH,9738,850.21,6/27/2021
398,FAD,2771,606.63,9/5/2022
399,LXFR,6576,767.57,3/15/2021
400,NVTR,3930,780.15,3/19/2021
401,FNWB,5498,613.94,2/8/2020
402,TNP^D,878,283.7,5/1/2021
403,HAE,9744,757.54,10/24/2020
404,MAA^I,3601,783.74,10/10/2021
405,FANG,1625,547.54,3/12/2020
406,LXRX,3628,197.28,8/25/2020
407,OCFC,2972,764.06,6/2/2020
408,KMB,688,447.44,8/25/2022
409,PRN,2557,531.81,1/9/2021
410,CIVBP,4444,216.18,8/18/2022
411,CXW,9934,106.12,7/1/2020
412,BWXT,3603,766.6,11/28/2020
413,DTEA,1857,90.36,12/10/2022
414,BCOR,4059,86.1,2/18/2020
415,LDOS,4957,760.09,7/15/2021
416,ENLC,4732,720.02,11/15/2021
417,SAM,4426,762.79,12/14/2022
418,QTRH,8871,527.09,11/26/2020
419,BLH,9830,601.52,6/20/2022
420,ABCD,7357,354.73,11/9/2021
421,ANGO,135,262.39,8/27/2021
422,NVS,7805,170.33,3/9/2020
423,TNH,2785,1.17,11/11/2021
424,SGH,4312,515.38,1/22/2021
425,WFE^A,7519,525.91,1/31/2020
426,XNCR,4433,578.91,7/3/2020
427,KMX,7559,24.2,12/19/2020
428,PRN,1668,173.17,11/25/2022
429,FRPT,7891,656.45,5/24/2021
430,PLUS,1207,653.27,11/6/2020
431,DNI,5933,120.89,6/8/2021
432,CUNB,869,682.92,2/8/2020
433,IIVI,1998,539.92,9/8/2020
434,KEY^I,8646,819.29,10/12/2021
435,SPR,4490,135.19,4/25/2021
436,RF,8408,844.75,11/25/2021
437,GAB^J,5712,549.78,7/9/2022
438,FCSC,1010,582.98,6/26/2021
439,USB^O,2341,512.12,12/16/2022
440,OME,389,169.15,3/10/2021
441,LEA,4877,606.09,2/4/2022
442,AQMS,6924,91.34,11/27/2022
443,AB,3289,972.95,5/8/2022
444,TACO,941,913.61,2/26/2020
445,BIOA,9184,624.15,4/14/2020
446,VRTX,8493,404.33,11/10/2020
447,NGG,4519,663.57,10/5/2021
448,KOSS,5952,916.4,5/21/2020
449,YRD,2771,56.93,11/10/2022
450,SNE,672,997.18,7/24/2021
451,STT^E,5669,361.67,2/5/2021
452,RXN^A,3194,338.9,1/25/2020
453,MTH,3664,835.31,7/7/2020
454,EXPE,3293,512.57,5/31/2021
455,RE,495,510.21,6/6/2020
456,CSQ,3491,354.75,4/4/2020
457,NNN,9298,620.99,8/30/2021
458,TACT,9166,701.15,4/5/2020
459,HAWK,2215,133.03,10/1/2020
460,WINS,8634,869.93,1/5/2022
461,VR^A,4525,853.47,1/1/2022
462,RARX,404,133.46,7/6/2022
463,CMC,5927,584.63,2/23/2021
464,EVEP,1959,620.8,9/25/2022
465,CDL,3138,215.88,6/2/2022
466,PZE,2898,668.33,5/20/2020
467,SLIM,9377,444.09,4/30/2020
468,TCBK,6279,557.51,10/2/2022
469,LCM,708,888.24,5/20/2020
470,PSCU,6230,45.88,7/28/2022
471,PBPB,8907,469.17,10/7/2021
472,CRC,5207,928.32,8/12/2021
473,MOTAW,2078,352.6,3/19/2021
474,LNGR,4540,114.25,10/6/2020
475,PUI,7044,532.46,12/8/2021
476,MTGE,879,689.66,11/18/2020
477,TROX,897,147.81,1/24/2021
478,EYEG,1154,892.89,8/6/2021
479,BML^L,7943,578.14,8/7/2021
480,GS^J,7034,406.22,12/14/2021
481,STI^A,1537,193.53,9/2/2020
482,SYT,7857,678.3,11/28/2021
483,CARZ,6816,239.93,3/29/2022
484,FHN,7328,263.0,11/4/2022
485,LBTYB,5262,3.11,9/17/2020
486,OXLCO,1146,568.56,7/17/2022
487,EBSB,768,255.95,6/3/2020
488,TNK,1322,743.0,11/24/2020
489,CEVA,320,379.78,9/16/2021
490,TSM,8857,882.56,8/10/2022
491,OCLR,8409,301.3,7/25/2020
492,HIG.WS,8928,862.78,7/3/2021
493,TGA,3341,347.91,9/19/2020
494,UMH^B,1905,91.26,3/16/2020
495,MS^E,4119,347.4,3/12/2022
496,ARR^A,2841,931.61,4/10/2020
497,EFOI,8039,275.59,6/2/2022
498,NTRP,5791,869.77,10/28/2020
499,C^C,8102,120.16,9/8/2022
500,BCOR,6543,733.13,12/24/2021
501,RSPP,6867,456.94,10/11/2022
502,AEMD,7629,0.74,7/21/2021
503,SGYP,484,262.77,4/22/2020
504,NEWTZ,9798,512.15,7/22/2020
505,FENX,9650,759.89,1/26/2020
506,PEGA,1471,278.94,2/10/2020
507,EXLS,7167,903.44,8/8/2021
508,RELL,6942,190.48,8/7/2021
509,MHNB.CL,4884,975.12,6/20/2020
510,DSGX,8263,244.49,4/18/2021
511,MSA,7352,666.2,11/14/2022
512,KEF,3253,237.67,4/22/2022
513,PEP,532,136.92,5/3/2020
514,ORIG,9273,228.61,9/16/2020
515,MYOS,4299,235.3,1/24/2020
516,CG,131,976.99,12/9/2022
517,BAC^E,4231,442.95,4/19/2020
518,FKU,9281,917.63,8/17/2022
519,EGT,961,609.93,8/25/2022
520,NHTC,9040,278.91,7/9/2020
521,LMT,9742,510.93,6/27/2022
522,ERJ,8451,34.83,6/7/2022
523,DXLG,9126,830.54,3/3/2022
524,WAFDW,7276,468.92,12/26/2020
525,GOGO,832,233.3,9/19/2021
526,MNE,4578,304.33,5/31/2020
527,DGLT,6841,454.25,7/26/2020
528,SUP,747,61.07,8/17/2021
529,PRSC,3633,343.66,11/7/2022
530,PY,5070,449.27,6/24/2021
531,YRCW,7327,430.82,5/20/2021
532,SDR,3854,767.05,7/28/2022
533,LINU,8653,431.86,6/1/2021
534,PIH,2079,836.77,9/20/2020
535,WAT,5566,718.12,8/22/2020
536,AKTS,5256,764.28,5/2/2022
537,BBK,6280,518.43,1/27/2021
538,TSCO,491,801.11,7/17/2022
539,AVAV,7094,648.87,5/14/2022
540,APO^A,6493,8.24,12/1/2021
541,RUSHA,866,676.74,11/18/2020
542,TATT,7391,944.35,7/10/2021
543,GEMP,8621,852.41,2/21/2021
544,AMTX,4039,121.51,3/19/2021
545,MYCC,8096,338.99,6/23/2020
546,GNMA,5360,957.24,10/23/2020
547,OMF,8579,403.32,11/27/2022
548,IIM,3501,789.72,4/5/2021
549,QINC,304,740.37,10/12/2022
550,XCRA,2881,162.39,1/1/2020
551,EPAM,714,193.35,5/7/2022
552,CTAS,3307,137.71,4/9/2020
553,VCEL,3006,273.46,11/5/2021
554,ECR,6674,760.88,9/8/2022
555,RFIL,4627,940.25,1/3/2022
556,SNOW,6191,607.14,4/23/2021
557,CLFD,739,648.79,7/7/2022
558,JMBA,8015,685.12,9/3/2020
559,ORBC,6613,467.68,4/20/2022
560,MD,3129,995.77,11/20/2022
561,GLOP,4053,167.13,4/22/2021
562,VR,1200,694.27,4/28/2020
563,RGSE,8839,959.32,11/11/2021
564,UVE,7615,126.49,5/21/2022
565,ST,2350,944.1,5/12/2022
566,AVB,9936,279.47,10/4/2022
567,MHN,4812,84.35,8/4/2020
568,WFC^N,2742,475.91,3/24/2020
569,MGF,8532,375.83,7/8/2020
570,BIT,715,343.54,5/5/2022
571,WY,8185,317.93,4/20/2021
572,SRRA,2418,319.12,1/14/2021
573,THRM,6993,849.72,5/8/2020
574,IMRNW,3136,621.79,11/17/2022
575,HELE,1346,437.08,7/23/2020
576,FNCX,6905,334.15,1/26/2021
577,HTZ,6637,927.91,3/29/2022
578,TMHC,1897,352.21,12/28/2021
579,EVBG,2777,739.23,1/24/2021
580,GHDX,8922,427.32,2/12/2022
581,GEH,7673,651.16,9/5/2022
582,ASND,7611,904.07,3/3/2021
583,LBF,1132,698.31,4/14/2020
584,MMD,7313,256.7,11/13/2021
585,SCWX,5044,906.52,11/3/2020
586,MIXT,6494,685.41,5/19/2022
587,VGSH,2486,858.58,8/12/2022
588,HCI,8180,171.44,8/24/2021
589,IPL^D,3130,64.47,9/10/2022
590,PNQI,9449,833.51,8/28/2020
591,CCI,4926,331.69,11/8/2022
592,LMFA,4572,665.11,6/8/2022
593,TANNI,7882,632.76,1/29/2020
594,PERI,2471,482.72,9/27/2020
595,PI,4721,598.36,4/26/2022
596,ISIG,5199,804.69,5/29/2022
597,MAN,6152,863.14,3/17/2022
598,OMEX,8716,341.27,5/23/2021
599,JPI,6894,887.31,2/12/2022
600,SCE^H,2562,596.02,1/11/2021
601,AXGN,5860,701.27,10/22/2020
602,FANH,6914,790.98,3/17/2021
603,SSW^G,9292,261.87,8/31/2020
604,AHL,3593,116.69,4/23/2021
605,FBSS,8033,233.99,6/19/2022
606,GFED,5389,133.44,5/16/2021
607,MH^A,7642,552.03,10/16/2022
608,NTP,1883,85.3,8/1/2020
609,IKNX,6091,849.38,6/1/2021
610,NRK,4051,88.62,2/17/2020
611,SQ,9727,931.32,1/9/2021
612,FSFR,4545,302.87,2/8/2022
613,HDSN,8216,481.89,1/8/2020
614,EHTH,2787,708.64,3/13/2020
615,HURC,2853,308.62,7/2/2021
616,PRTK,4499,884.89,12/22/2022
617,STT^G,3295,142.06,11/27/2022
618,GNRC,688,847.07,2/6/2022
619,AMGN,3970,97.1,1/19/2022
620,FRA,5252,829.23,1/5/2021
621,LAKE,1938,652.14,6/24/2022
622,CMS,5949,503.58,10/11/2021
623,TRNS,5465,981.68,4/30/2022
624,MO,4210,165.85,6/8/2020
625,CA,9205,812.62,2/4/2020
626,TAP,186,891.81,1/4/2022
627,ENDP,2427,384.78,7/5/2021
628,MTX,4970,343.56,3/2/2021
629,GSIT,5018,647.41,8/6/2021
630,ONS,323,840.17,3/12/2020
631,MTBCP,3977,168.45,1/16/2020
632,FTXD,6901,531.4,2/26/2021
633,CFX,9955,312.67,6/20/2020
634,TRMB,3287,612.84,10/31/2021
635,CMRE^B,7086,334.46,8/24/2020
636,PEGA,892,48.14,8/11/2022
637,CPIX,1695,664.83,5/30/2022
638,AMTX,4424,757.04,2/2/2022
639,BCH,3528,902.55,9/27/2022
640,TSE,6716,449.24,8/15/2022
641,AHP^B,3698,476.99,11/16/2022
642,FSCFL,6637,465.85,2/27/2021
643,KBWY,4276,103.76,2/9/2021
644,DX,3212,30.73,6/13/2021
645,BOKF,6038,557.95,9/24/2022
646,COLB,8080,392.65,12/1/2020
647,WLDN,799,822.75,9/14/2020
648,RLH,9118,294.84,6/14/2022
649,SLAB,865,821.34,5/1/2021
650,USM,6439,271.07,9/12/2022
651,ESGE,245,308.55,8/17/2020
652,EBS,5676,416.51,9/22/2021
653,NEE^Q,62,630.34,10/8/2021
654,RXIIW,4015,989.08,8/29/2021
655,PRKR,4368,216.97,4/2/2021
656,CLMT,7385,946.75,10/26/2020
657,MBUU,4998,980.33,9/19/2022
658,MBT,7827,687.03,1/10/2022
659,VTWO,8073,498.56,3/18/2022
660,UBCP,7743,906.81,10/16/2021
661,DBD,2062,171.72,5/9/2021
662,MBII,4015,52.74,1/14/2020
663,BBT,4089,586.88,6/25/2021
664,OLED,3629,929.14,5/15/2021
665,KERX,3112,80.44,4/25/2020
666,GEH,3810,825.08,8/16/2021
667,TUP,2586,586.99,10/5/2020
668,OFS,4507,452.93,8/24/2021
669,CUBI,2309,676.35,5/21/2020
670,KRNT,912,652.47,10/23/2022
671,BOX,6364,272.21,11/2/2021
672,ROYT,3216,494.38,12/27/2022
673,GOOD,7424,366.2,9/6/2020
674,SSB,8459,205.32,10/20/2022
675,EXXI,3206,58.1,9/23/2022
676,VSAR,4365,905.05,10/12/2022
677,SCE^H,4473,890.51,9/2/2020
678,CECO,2933,574.34,5/1/2022
679,BABA,4072,146.62,12/24/2021
680,BBU,2506,797.29,9/15/2021
